ID,Town,County,Country
23135,Lloc,Flintshire,Wales
23136,Llong,Flintshire,Wales
23137,Llowes,Powys,Wales
23138,Lloyney,Powys,Wales
23139,Llugwy,Gwynedd,Wales
23140,Llundain-fach,Ceredigion,Wales
23141,Llwydarth,Bridgend,Wales
23142,Llwydcoed,Rhondda Cynon Taf,Wales
23143,Llwyn,Denbighshire,Wales
23144,Llwyn,Shropshire,England
23145,Llwyn-derw,Powys,Wales
23146,Llwyn-du,Monmouthshire,Wales
23147,Llwyn-on Village,Merthyr Tydfil,Wales
23148,Llwyn-têg,Ceredigion,Wales
23149,Llwyn-y-brain,Carmarthenshire,Wales
23150,Llwyn-y-go,Shropshire,England
23151,Llwyn-y-groes,Ceredigion,Wales
23152,Llwyn-yr-hwrdd,Pembrokeshire,Wales
23153,Llwyncelyn,Ceredigion,Wales
23154,Llwyndafydd,Ceredigion,Wales
23155,Llwynduris,Ceredigion,Wales
23156,Llwyndyrys,Gwynedd,Wales
23157,Llwyneinion,Wrexham,Wales
23158,Llwyngwril,Gwynedd,Wales
23159,Llwynhendy,Carmarthenshire,Wales
23160,Llwynmawr,Wrexham,Wales
23161,Llwynygog,Powys,Wales
23162,Llwynypia,Rhondda Cynon Taf,Wales
23163,Llynclys,Shropshire,England
23164,Llynfaes,Isle of Anglesey,Wales
23165,Llys-y-frân,Ceredigion,Wales
23166,Llysfaen,Conwy,Wales
23167,Llyswen,Powys,Wales
23168,Llysworney,The Vale of Glamorgan,Wales
23169,Llywel,Powys,Wales
23170,Llywernog,Ceredigion,Wales
23171,Load Brook,South Yorkshire,England
23172,Loan,Falkirk,Scotland
23173,Loandhu,Highland,Scotland
23174,Loanend,Northumberland,England
23175,Loanhead,Midlothian,Scotland
23176,Loans,South Ayrshire,Scotland
23177,Loansdean,Northumberland,England
23178,Lobb,Devon,England
23179,Lobhillcross,Devon,England
23180,Lobley Hill,Tyne and Wear,England
23181,Lobthorpe,Lincolnshire,England
23182,Loch a' Ghainmhich,Na h-Eileanan an Iar,Scotland
23183,Loch a'Chàrnain,Na h-Eileanan an Iar,Scotland
23184,Loch Euphort,Na h-Eileanan an Iar,Scotland
23185,Loch Sgioport,Na h-Eileanan an Iar,Scotland
23186,Lochailort/Ceann Loch Ailleart,Highland,Scotland
23187,Lochaline / Loch Àlainn,Highland,Scotland
23188,Lochanhully,Highland,Scotland
23189,Lochans,Dumfries and Galloway,Scotland
23190,Locharbriggs,Dumfries and Galloway,Scotland
23191,Lochardil,Highland,Scotland
23192,Lochawe,Argyll and Bute,Scotland
23193,Lochboisdale/Loch Baghasdail,Na h-Eileanan an Iar,Scotland
23194,Lochbuie,Argyll and Bute,Scotland
23195,Lochcarron,Highland,Scotland
23196,Lochdon,Argyll and Bute,Scotland
23197,Lochearnhead,Stirling,Scotland
23198,Lochend,Highland,Scotland
23199,Lochend,Highland,Scotland
23200,Lochend,City of Edinburgh,Scotland
23201,Lochfoot,Dumfries and Galloway,Scotland
23202,Lochgair,Argyll and Bute,Scotland
23203,Lochgelly,Fife,Scotland
23204,Lochgilphead,Argyll and Bute,Scotland
23205,Lochgoilhead,Argyll and Bute,Scotland
23206,Lochhill,Moray,Scotland
23207,Lochinver/Loch an Inbhir,Highland,Scotland
23208,Lochluichart,Highland,Scotland
23209,Lochmaben,Dumfries and Galloway,Scotland
23210,Lochmaddy/Loch nam Madadh,Na h-Eileanan an Iar,Scotland
23211,Lochore,Fife,Scotland
23212,Lochportain,Na h-Eileanan an Iar,Scotland
23213,Lochranza,North Ayrshire,Scotland
23214,Lochside,Highland,Scotland
23215,Lochside,Highland,Scotland
23216,Lochside,Aberdeenshire,Scotland
23217,Lochside,South Ayrshire,Scotland
23218,Lochside,Dumfries and Galloway,Scotland
23219,Lochslin,Highland,Scotland
23220,Lochton of Leys,Aberdeenshire,Scotland
23221,Lochty,Perth and Kinross,Scotland
23222,Lochwinnoch,Renfrewshire,Scotland
23223,Lochwood,Glasgow City,Scotland
23224,Lochyside/Taobh Lochaidh,Highland,Scotland
23225,Lockengate,Cornwall,England
23226,Lockerbie,Dumfries and Galloway,Scotland
23227,Lockeridge,Wiltshire,England
23228,Lockeridge Dene,Wiltshire,England
23229,Lockerley,Hampshire,England
23230,Lockhills,Cumbria,England
23231,Locking,Somerset,England
23232,Locking Stumps,Cheshire,England
23233,Lockington,East Riding of Yorkshire,England
23234,Lockington,Leicestershire,England
23235,Lockleaze,Bristol,England
23236,Lockleywood,Shropshire,England
23237,Locks Heath,Hampshire,England
23238,Locksbottom,"Bromley, Greater London",England
23239,Locksbrook,Somerset,England
23240,Locksgreen,Isle of Wight,England
23241,Lockton,North Yorkshire,England
23242,Lockwood,West Yorkshire,England
23243,Loddington,Leicestershire,England
23244,Loddington,Northamptonshire,England
23245,Loddiswell,Devon,England
23246,Loddon,Norfolk,England
23247,Loddon Ingloss,Norfolk,England
23248,Lode,Cambridgeshire,England
23249,Lode Heath,West Midlands,England
23250,Loders,Dorset,England
23251,Lodge Green,North Yorkshire,England
23252,Lodge Green,West Midlands,England
23253,Lodge Hill,West Yorkshire,England
23254,Lodge Hill,West Midlands,England
23255,Lodge Hill,Cornwall,England
23256,Lodge Lees,Kent,England
23257,Lodge Moor,South Yorkshire,England
23258,Lodge Park,Worcestershire,England
23259,Lodgebank,Shropshire,England
23260,Lodsworth,West Sussex,England
23261,Lodsworth Common,West Sussex,England
23262,Lodway,Somerset,England
23263,Lofthouse,North Yorkshire,England
23264,Lofthouse,West Yorkshire,England
23265,Lofthouse Gate,West Yorkshire,England
23266,Loftus,North Yorkshire,England
23267,Logan,East Ayrshire,Scotland
23268,Loganlea,West Lothian,Scotland
23269,Loggerheads,Denbighshire,Wales
23270,Loggerheads,Staffordshire,England
23271,Logie,Moray,Scotland
23272,Logie,Fife,Scotland
23273,Logie,Angus,Scotland
23274,Logie Coldstone,Aberdeenshire,Scotland
23275,Logie Hill,Highland,Scotland
23276,Logie Pert,Angus,Scotland
23277,Logierait,Perth and Kinross,Scotland
23278,Login,Carmarthenshire,Wales
23279,Logmore Green,Surrey,England
23280,Lolworth,Cambridgeshire,England
23281,Lomeshaye,Lancashire,England
23282,Lon-las,Swansea,Wales
23283,Londain,Highland,Scotland
23284,Londesborough,East Riding of Yorkshire,England
23285,London,"City of London, Greater London",England
23286,London Apprentice,Cornwall,England
23287,London Beach,Kent,England
23288,London Colney,Hertfordshire,England
23289,London End,Cambridgeshire,England
23290,London Fields,West Midlands,England
23291,London Minstead,Hampshire,England
23292,Londonderry,North Yorkshire,England
23293,Londonderry,West Midlands,England
23294,Londonthorpe,Lincolnshire,England
23295,Londubh,Highland,Scotland
23296,Lonemore,Highland,Scotland
23297,Lonemore,Highland,Scotland
23298,Long Ashton,Somerset,England
23299,Long Bank,Worcestershire,England
23300,Long Bennington,Lincolnshire,England
23301,Long Bredy,Dorset,England
23302,Long Buckby,Northamptonshire,England
23303,Long Buckby Wharf,Northamptonshire,England
23304,Long Clawson,Leicestershire,England
23305,Long Common,Shropshire,England
23306,Long Common,Hampshire,England
23307,Long Compton,Staffordshire,England
23308,Long Compton,Warwickshire,England
23309,Long Crendon,Buckinghamshire,England
23310,Long Crichel,Dorset,England
23311,Long Cross,Wiltshire,England
23312,Long Dean,Wiltshire,England
23313,Long Ditton,Surrey,England
23314,Long Drax,North Yorkshire,England
23315,Long Duckmanton,Derbyshire,England
23316,Long Eaton,Derbyshire,England
23317,Long Gardens,Essex,England
23318,Long Green,Cheshire,England
23319,Long Green,Worcestershire,England
23320,Long Green,Suffolk,England
23321,Long Hanborough,Oxfordshire,England
23322,Long Itchington,Warwickshire,England
23323,Long John's Hill,Norfolk,England
23324,Long Lane,Shropshire,England
23325,Long Lawford,Warwickshire,England
23326,Long Lee,West Yorkshire,England
23327,Long Load,Somerset,England
23328,Long Marston,North Yorkshire,England
23329,Long Marston,Warwickshire,England
23330,Long Marston,Hertfordshire,England
23331,Long Marton,Cumbria,England
23332,Long Meadow,Cambridgeshire,England
23333,Long Meadowend,Shropshire,England
23334,Long Melford,Suffolk,England
23335,Long Newnton,Gloucestershire,England
23336,Long Oak,Shropshire,England
23337,Long Park,Hampshire,England
23338,Long Preston,North Yorkshire,England
23339,Long Riston,East Riding of Yorkshire,England
23340,Long Sandall,South Yorkshire,England
23341,Long Sight,Greater Manchester,England
23342,Long Stratton,Norfolk,England
23343,Long Street,Buckinghamshire,England
23344,Long Sutton,Somerset,England
23345,Long Sutton,Hampshire,England
23346,Long Sutton,Lincolnshire,England
23347,Long Thurlow,Suffolk,England
23348,Long Whatton,Leicestershire,England
23349,Long Wittenham,Oxfordshire,England
23350,Longbar,North Ayrshire,Scotland
23351,Longbarn,Cheshire,England
23352,Longbenton,Tyne and Wear,England
23353,Longborough,Gloucestershire,England
23354,Longbridge,West Midlands,England
23355,Longbridge,Warwickshire,England
23356,Longbridge,Devon,England
23357,Longbridge Deverill,Wiltshire,England
23358,Longbridge Hayes,Staffordshire,England
23359,Longburgh,Cumbria,England
23360,Longburton,Dorset,England
23361,Longcause,Devon,England
23362,Longcliffe,Derbyshire,England
23363,Longcot,Oxfordshire,England
23364,Longcroft,Falkirk,Scotland
23365,Longcroft,Cumbria,England
23366,Longcross,Surrey,England
23367,Longcross,Devon,England
23368,Longdale,Cumbria,England
23369,Longdales,Cumbria,England
23370,Longden,Shropshire,England
23371,Longden Common,Shropshire,England
23372,Longdon,Staffordshire,England
23373,Longdon,Worcestershire,England
23374,Longdon Green,Staffordshire,England
23375,Longdon Heath,Worcestershire,England
23376,Longdon Hill End,Worcestershire,England
23377,Longdon on Tern,Shropshire,England
23378,Longdown,Devon,England
23379,Longdowns,Cornwall,England
23380,Longfield,Shetland Islands,Scotland
23381,Longfield,Wiltshire,England
23382,Longfield,Kent,England
23383,Longfield Hill,Kent,England
23384,Longfleet,Dorset,England
23385,Longford,Cheshire,England
23386,Longford,Shropshire,England
23387,Longford,Shropshire,England
23388,Longford,Derbyshire,England
23389,Longford,Gloucestershire,England
23390,Longford,West Midlands,England
23391,Longford,"Hillingdon, Greater London",England
23392,Longford,Kent,England
23393,Longfordlane,Derbyshire,England
23394,Longforgan,Perth and Kinross,Scotland
23395,Longformacus,Scottish Borders,Scotland
23396,Longframlington,Northumberland,England
23397,Longham,Dorset,England
23398,Longham,Norfolk,England
23399,Longhaven,Aberdeenshire,Scotland
23400,Longhedge,Wiltshire,England
23401,Longhirst,Northumberland,England
23402,Longhope,Orkney Islands,Scotland
23403,Longhope,Gloucestershire,England
23404,Longhorsley,Northumberland,England
23405,Longhoughton,Northumberland,England
23406,Longhouse,Somerset,England
23407,Longlands,Cumbria,England
23408,Longlands,"Bexley, Greater London",England
23409,Longlane,Derbyshire,England
23410,Longlane,Berkshire,England
23411,Longlevens,Gloucestershire,England
23412,Longley,West Yorkshire,England
23413,Longley,West Yorkshire,England
23414,Longley Estate,South Yorkshire,England
23415,Longley Green,Worcestershire,England
23416,Longmanhill,Aberdeenshire,Scotland
23417,Longmoss,Cheshire,England
23418,Longnewton,County Durham,England
23419,Longney,Gloucestershire,England
23420,Longniddry,East Lothian,Scotland
23421,Longnor,Shropshire,England
23422,Longnor,Staffordshire,England
23423,Longnor,Staffordshire,England
23424,Longnor Park,Shropshire,England
23425,Longparish,Hampshire,England
23426,Longpark,East Ayrshire,Scotland
23427,Longpark,Cumbria,England
23428,Longport,Staffordshire,England
23429,Longridge,West Lothian,Scotland
23430,Longridge,Lancashire,England
23431,Longridge,Staffordshire,England
23432,Longridge,Gloucestershire,England
23433,Longridge End,Gloucestershire,England
23434,Longrigg,North Lanarkshire,Scotland
23435,Longriggend,North Lanarkshire,Scotland
23436,Longrock,Cornwall,England
23437,Longscales,North Yorkshire,England
23438,Longsdon,Staffordshire,England
23439,Longshaw,Greater Manchester,England
23440,Longshaw,Staffordshire,England
23441,Longside,Aberdeenshire,Scotland
23442,Longsight,Greater Manchester,England
23443,Longslow,Shropshire,England
23444,Longsowerby,Cumbria,England
23445,Longstanton,Cambridgeshire,England
23446,Longstock,Hampshire,England
23447,Longstone,City of Edinburgh,Scotland
23448,Longstone,Somerset,England
23449,Longstone,Cornwall,England
23450,Longstone,Cornwall,England
23451,Longstowe,Cambridgeshire,England
23452,Longstreet,Wiltshire,England
23453,Longthorpe,Cambridgeshire,England
23454,Longthwaite,Cumbria,England
23455,Longton,Lancashire,England
23456,Longton,Staffordshire,England
23457,Longtown,Cumbria,England
23458,Longtown,Herefordshire,England
23459,Longview,Merseyside,England
23460,Longville in the Dale,Shropshire,England
23461,Longway Bank,Derbyshire,England
23462,Longwell Green,Gloucestershire,England
23463,Longwick,Buckinghamshire,England
23464,Longwitton,Northumberland,England
23465,Longwood,West Yorkshire,England
23466,Longwood Edge,West Yorkshire,England
23467,Longworth,Oxfordshire,England
23468,Lonmay,Aberdeenshire,Scotland
23469,Lonmore,Highland,Scotland
23470,Looe,Cornwall,England
23471,Looe Mills,Cornwall,England
23472,Loose,Kent,England
23473,Loose Hill,Kent,England
23474,Loosegate,Lincolnshire,England
23475,Loosley Row,Buckinghamshire,England
23476,Lopen,Somerset,England
23477,Lopen Head,Somerset,England
23478,Loppergarth,Cumbria,England
23479,Loppington,Shropshire,England
23480,Lopwell,Devon,England
23481,Lord's Hill,Hampshire,England
23482,Lords Wood,Kent,England
23483,Lordsbridge,Norfolk,England
23484,Lordshill Common,Surrey,England
23485,Lordswood,Hampshire,England
23486,Loscoe,West Yorkshire,England
23487,Loscoe,Derbyshire,England
23488,Loscombe,Dorset,England
23489,Losgaintir,Na h-Eileanan an Iar,Scotland
23490,Lossiemouth,Moray,Scotland
23491,Lostford,Shropshire,England
23492,Lostock,Greater Manchester,England
23493,Lostock Gralam,Cheshire,England
23494,Lostock Green,Cheshire,England
23495,Lostock Hall,Lancashire,England
23496,Lostock Junction,Greater Manchester,England
23497,Lostwithiel,Cornwall,England
23498,Lothbeg,Highland,Scotland
23499,Lothersdale,North Yorkshire,England
23500,Lothianbridge,Midlothian,Scotland
23501,Lothmore,Highland,Scotland
23502,Lottisham,Somerset,England
23503,Loudwater,Buckinghamshire,England
23504,Loudwater,Hertfordshire,England
23505,Loughan,Coleraine,Northern Ireland
23506,Loughborough,Leicestershire,England
23507,Loughbrickland,Banbridge,Northern Ireland
23508,Loughgall,Armagh,Northern Ireland
23509,Loughgilly,Armagh,Northern Ireland
23510,Loughor,Swansea,Wales
23511,Loughton,Shropshire,England
23512,Loughton,Buckinghamshire,England
23513,Loughton,Essex,England
23514,Lound,Nottinghamshire,England
23515,Lound,Suffolk,England
23516,Loundsley Green,Derbyshire,England
23517,Lount,Leicestershire,England
23518,Louth,Lincolnshire,England
23519,Lovaton,Devon,England
23520,Love Clough,Lancashire,England
23521,Love Green,Buckinghamshire,England
23522,Lovedean,Hampshire,England
23523,Lover,Wiltshire,England
23524,Loversall,South Yorkshire,England
23525,Loves Green,Essex,England
23526,Loveston,Pembrokeshire,Wales
23527,Lovington,Somerset,England
23528,Low Ackworth,West Yorkshire,England
23529,Low Alwinton,Northumberland,England
23530,Low Angerton,Northumberland,England
23531,Low Barlings,Lincolnshire,England
23532,Low Barugh,South Yorkshire,England
23533,Low Bentham,North Yorkshire,England
23534,Low Biggins,Cumbria,England
23535,Low Blantyre,South Lanarkshire,Scotland
23536,Low Borrowbridge,Cumbria,England
23537,Low Bradfield,South Yorkshire,England
23538,Low Bradley,North Yorkshire,England
23539,Low Braithwaite,Cumbria,England
23540,Low Bridge,Wiltshire,England
23541,Low Burnham,Lincolnshire,England
23542,Low Catton,East Riding of Yorkshire,England
23543,Low Common,Norfolk,England
23544,Low Coniscliffe,County Durham,England
23545,Low Cotehill,Cumbria,England
23546,Low Coylton,South Ayrshire,Scotland
23547,Low Crompton,Greater Manchester,England
23548,Low Crosby,Cumbria,England
23549,Low Dalby,North Yorkshire,England
23550,Low Dinsdale,County Durham,England
23551,Low Eighton,Tyne and Wear,England
23552,Low Ellington,North Yorkshire,England
23553,Low Etherley,County Durham,England
23554,Low Fell,Tyne and Wear,England
23555,Low Fold,West Yorkshire,England
23556,Low Fulney,Lincolnshire,England
23557,Low Garth,North Yorkshire,England
23558,Low Gate,Northumberland,England
23559,Low Gate,North Yorkshire,England
23560,Low Grantley,North Yorkshire,England
23561,Low Green,North Yorkshire,England
23562,Low Green,West Yorkshire,England
23563,Low Green,Suffolk,England
23564,Low Greenside,Tyne and Wear,England
23565,Low Habberley,Worcestershire,England
23566,Low Ham,Somerset,England
23567,Low Hauxley,Northumberland,England
23568,Low Hawsker,North Yorkshire,England
23569,Low Hesket,Cumbria,England
23570,Low Hill,West Midlands,England
23571,Low Hutton,North Yorkshire,England
23572,Low Knipe,Cumbria,England
23573,Low Laithe,North Yorkshire,England
23574,Low Laithes,South Yorkshire,England
23575,Low Leighton,Derbyshire,England
23576,Low Lorton,Cumbria,England
23577,Low Marishes,North Yorkshire,England
23578,Low Marnham,Nottinghamshire,England
23579,Low Mill,North Yorkshire,England
23580,Low Moor,Lancashire,England
23581,Low Moor,West Yorkshire,England
23582,Low Moorsley,Tyne and Wear,England
23583,Low Moresby,Cumbria,England
23584,Low Newton,Cumbria,England
23585,Low Newton-by-the-Sea,Northumberland,England
23586,Low Prudhoe,Northumberland,England
23587,Low Risby,Lincolnshire,England
23588,Low Row,Cumbria,England
23589,Low Row,Cumbria,England
23590,Low Row,North Yorkshire,England
23591,Low Snaygill,North Yorkshire,England
23592,Low Street,Norfolk,England
23593,Low Street,Essex,England
23594,Low Tharston,Norfolk,England
23595,Low Thornley,Tyne and Wear,England
23596,Low Torry,Fife,Scotland
23597,Low Town,Shropshire,England
23598,Low Toynton,Lincolnshire,England
23599,Low Valley,South Yorkshire,England
23600,Low Valleyfield,Fife,Scotland
23601,Low Walton,Cumbria,England
23602,Low Waters,South Lanarkshire,Scotland
23603,Low Westwood,County Durham,England
23604,Low Whinnow,Cumbria,England
23605,Low Whita,North Yorkshire,England
23606,Low Wood,Cumbria,England
23607,Low Worsall,North Yorkshire,England
23608,Lowbands,Gloucestershire,England
23609,Lowca,Cumbria,England
23610,Lowcross Hill,Cheshire,England
23611,Lowdham,Nottinghamshire,England
23612,Lowe,Shropshire,England
23613,Lowe Hill,Staffordshire,England
23614,Lowedges,South Yorkshire,England
23615,Lower Aisholt,Somerset,England
23616,Lower Allscott,Shropshire,England
23617,Lower Altofts,West Yorkshire,England
23618,Lower Amble,Cornwall,England
23619,Lower Ansty,Dorset,England
23620,Lower Arboll,Highland,Scotland
23621,Lower Ardtun,Argyll and Bute,Scotland
23622,Lower Arncott,Oxfordshire,England
23623,Lower Ashtead,Surrey,England
23624,Lower Ashton,Devon,England
23625,Lower Assendon,Oxfordshire,England
23626,Lower Auchenreath,Moray,Scotland
23627,Lower Badcall,Highland,Scotland
23628,Lower Ballam,Lancashire,England
23629,Lower Bartle,Lancashire,England
23630,Lower Basildon,Berkshire,England
23631,Lower Bassingthorpe,Lincolnshire,England
23632,Lower Bearwood,Herefordshire,England
23633,Lower Bebington,Merseyside,England
23634,Lower Beeding,West Sussex,England
23635,Lower Benefield,Northamptonshire,England
23636,Lower Bentley,Worcestershire,England
23637,Lower Beobridge,Shropshire,England
23638,Lower Berry Hill,Gloucestershire,England
23639,Lower Binton,Warwickshire,England
23640,Lower Birchwood,Derbyshire,England
23641,Lower Bitchet,Kent,England
23642,Lower Blandford St Mary,Dorset,England
23643,Lower Blunsdon,Wiltshire,England
23644,Lower Bobbingworth Green,Essex,England
23645,Lower Bockhampton,Dorset,England
23646,Lower Boddington,Northamptonshire,England
23647,Lower Bodham,Norfolk,England
23648,Lower Bodinnar,Cornwall,England
23649,Lower Bois,Buckinghamshire,England
23650,Lower Bordean,Hampshire,England
23651,Lower Boscaswell,Cornwall,England
23652,Lower Bourne,Surrey,England
23653,Lower Bracky,Omagh,Northern Ireland
23654,Lower Bradley,West Midlands,England
23655,Lower Brailes,Warwickshire,England
23656,Lower Breakish/Brecais Iosal,Highland,Scotland
23657,Lower Bredbury,Greater Manchester,England
23658,Lower Breinton,Herefordshire,England
23659,Lower Broadheath,Worcestershire,England
23660,Lower Brook,Hampshire,England
23661,Lower Broughton,Greater Manchester,England
23662,Lower Broxwood,Herefordshire,England
23663,Lower Brynamman,Neath Port Talbot,Wales
23664,Lower Brynn,Cornwall,England
23665,Lower Buckenhill,Herefordshire,England
23666,Lower Buckland,Hampshire,England
23667,Lower Bullingham,Herefordshire,England
23668,Lower Bullington,Hampshire,England
23669,Lower Bunbury,Cheshire,England
23670,Lower Burgate,Hampshire,England
23671,Lower Burrow,Somerset,England
23672,Lower Burton,Herefordshire,England
23673,Lower Bush,Kent,England
23674,Lower Cadsden,Buckinghamshire,England
23675,Lower Caldecote,Bedfordshire,England
23676,Lower Cam,Gloucestershire,England
23677,Lower Canada,Somerset,England
23678,Lower Carden,Cheshire,England
23679,Lower Catesby,Northamptonshire,England
23680,Lower Cator,Devon,England
23681,Lower Caversham,Berkshire,England
23682,Lower Chapel,Powys,Wales
23683,Lower Chedworth,Gloucestershire,England
23684,Lower Cheriton,Devon,England
23685,Lower Chicksgrove,Wiltshire,England
23686,Lower Chute,Wiltshire,England
23687,Lower Clapton,"Hackney, Greater London",England
23688,Lower Clent,Worcestershire,England
23689,Lower Clicker,Cornwall,England
23690,Lower Clopton,Warwickshire,England
23691,Lower Common,Shropshire,England
23692,Lower Common,Monmouthshire,Wales
23693,Lower Common,Monmouthshire,Wales
23694,Lower Common,Hampshire,England
23695,Lower Common,Hampshire,England
23696,Lower Copthurst,Lancashire,England
23697,Lower Cousley Wood,East Sussex,England
23698,Lower Cox Street,Kent,England
23699,Lower Creedy,Devon,England
23700,Lower Croan,Cornwall,England
23701,Lower Crossings,Derbyshire,England
23702,Lower Cumberworth,West Yorkshire,England
23703,Lower Daggons,Hampshire,England
23704,Lower Darkley,Armagh,Northern Ireland
23705,Lower Darwen,Lancashire,England
23706,Lower Dean,Devon,England
23707,Lower Dean,Bedfordshire,England
23708,Lower Denby,West Yorkshire,England
23709,Lower Denzell,Cornwall,England
23710,Lower Diabaig,Highland,Scotland
23711,Lower Dicker,East Sussex,England
23712,Lower Dinchope,Shropshire,England
23713,Lower Dounreay,Highland,Scotland
23714,Lower Dowdeswell,Gloucestershire,England
23715,Lower Down,Shropshire,England
23716,Lower Drummond,Highland,Scotland
23717,Lower Dunsforth,North Yorkshire,England
23718,Lower Durston,Somerset,England
23719,Lower Earley,Berkshire,England
23720,Lower East Carleton,Norfolk,England
23721,Lower Eastern Green,West Midlands,England
23722,Lower Edmonton,"Enfield, Greater London",England
23723,Lower Egleton,Herefordshire,England
23724,Lower Elkstone,Staffordshire,England
23725,Lower Ellastone,Staffordshire,England
23726,Lower End,Gloucestershire,England
23727,Lower End,Oxfordshire,England
23728,Lower End,Buckinghamshire,England
23729,Lower End,Buckinghamshire,England
23730,Lower End,Northamptonshire,England
23731,Lower End,Northamptonshire,England
23732,Lower End,Northamptonshire,England
23733,Lower End,Buckinghamshire,England
23734,Lower End,Bedfordshire,England
23735,Lower Everleigh,Wiltshire,England
23736,Lower Eype,Dorset,England
23737,Lower Eythorne,Kent,England
23738,Lower Failand,Somerset,England
23739,Lower Faintree,Shropshire,England
23740,Lower Falkenham,Suffolk,England
23741,Lower Farringdon,Hampshire,England
23742,Lower Feltham,"Hounslow, Greater London",England
23743,Lower Fittleworth,West Sussex,England
23744,Lower Forge,Shropshire,England
23745,Lower Frankton,Shropshire,England
23746,Lower Freystrop,Pembrokeshire,Wales
23747,Lower Froyle,Hampshire,England
23748,Lower Gabwell,Devon,England
23749,Lower Gledfield,Highland,Scotland
23750,Lower Godney,Somerset,England
23751,Lower Goldstone,Kent,England
23752,Lower Gornal,West Midlands,England
23753,Lower Grange,West Yorkshire,England
23754,Lower Gravenhurst,Bedfordshire,England
23755,Lower Green,Greater Manchester,England
23756,Lower Green,Staffordshire,England
23757,Lower Green,Warwickshire,England
23758,Lower Green,Berkshire,England
23759,Lower Green,Norfolk,England
23760,Lower Green,Hertfordshire,England
23761,Lower Green,Hertfordshire,England
23762,Lower Green,Essex,England
23763,Lower Green,Essex,England
23764,Lower Green,Essex,England
23765,Lower Green,Essex,England
23766,Lower Green,Suffolk,England
23767,Lower Green,Surrey,England
23768,Lower Green,Kent,England
23769,Lower Green,Kent,England
23770,Lower Grove Common,Herefordshire,England
23771,Lower Hacheston,Suffolk,England
23772,Lower Halistra,Highland,Scotland
23773,Lower Halliford,Surrey,England
23774,Lower Halstock Leigh,Dorset,England
23775,Lower Halstow,Kent,England
23776,Lower Hamswell,Gloucestershire,England
23777,Lower Hamworthy,Dorset,England
23778,Lower Hardres,Kent,England
23779,Lower Hardwick,Herefordshire,England
23780,Lower Harpton,Herefordshire,England
23781,Lower Hartlip,Kent,England
23782,Lower Hartshay,Derbyshire,England
23783,Lower Hartwell,Buckinghamshire,England
23784,Lower Hatton,Staffordshire,England
23785,Lower Hawthwaite,Cumbria,England
23786,Lower Haysden,Kent,England
23787,Lower Hayton,Shropshire,England
23788,Lower Hazel,Gloucestershire,England
23789,Lower Heath,Cheshire,England
23790,Lower Heppington,Kent,England
23791,Lower Hergest,Herefordshire,England
23792,Lower Herne,Kent,England
23793,Lower Heyford,Oxfordshire,England
23794,Lower Heysham,Lancashire,England
23795,Lower Higham,Kent,England
23796,Lower Highmoor,Oxfordshire,England
23797,Lower Holbrook,Suffolk,England
23798,Lower Holditch,Dorset,England
23799,Lower Holloway,"Islington, Greater London",England
23800,Lower Holwell,Dorset,England
23801,Lower Hook,Worcestershire,England
23802,Lower Hookner,Devon,England
23803,Lower Hopton,West Yorkshire,England
23804,Lower Hopton,Shropshire,England
23805,Lower Hordley,Shropshire,England
23806,Lower Horncroft,West Sussex,England
23807,Lower Horsebridge,East Sussex,England
23808,Lower House,Cheshire,England
23809,Lower Houses,West Yorkshire,England
23810,Lower Howsell,Worcestershire,England
23811,Lower Illey,West Midlands,England
23812,Lower Island,Kent,England
23813,Lower Kersal,Greater Manchester,England
23814,Lower Kilburn,Derbyshire,England
23815,Lower Kilchattan,Argyll and Bute,Scotland
23816,Lower Kilcott,Gloucestershire,England
23817,Lower Kingcombe,Dorset,England
23818,Lower Kingswood,Surrey,England
23819,Lower Kinnerton,Cheshire,England
23820,Lower Kinsham,Herefordshire,England
23821,Lower Knapp,Somerset,England
23822,Lower Knightley,Staffordshire,England
23823,Lower Knowle,Bristol,England
23824,Lower Langford,Somerset,England
23825,Lower Largo,Fife,Scotland
23826,Lower Layham,Suffolk,England
23827,Lower Ledwyche,Shropshire,England
23828,Lower Leigh,Staffordshire,England
23829,Lower Lemington,Gloucestershire,England
23830,Lower Lode,Gloucestershire,England
23831,Lower Lovacott,Devon,England
23832,Lower Loxhore,Devon,England
23833,Lower Lydbrook,Gloucestershire,England
23834,Lower Lye,Herefordshire,England
23835,Lower Machen,Newport,Wales
23836,Lower Maes-coed,Herefordshire,England
23837,Lower Mains,Clackmannanshire,Scotland
23838,Lower Mannington,Dorset,England
23839,Lower Marsh,Somerset,England
23840,Lower Marston,Somerset,England
23841,Lower Meend,Gloucestershire,England
23842,Lower Menadue,Cornwall,England
23843,Lower Merridge,Somerset,England
23844,Lower Mickletown,West Yorkshire,England
23845,Lower Middleton Cheney,Northamptonshire,England
23846,Lower Midway,Derbyshire,England
23847,Lower Mill,Cornwall,England
23848,Lower Milovaig,Highland,Scotland
23849,Lower Milton,Somerset,England
23850,Lower Moor,Worcestershire,England
23851,Lower Moor,Wiltshire,England
23852,Lower Morton,Gloucestershire,England
23853,Lower Mountain,Flintshire,Wales
23854,Lower Nazeing,Essex,England
23855,Lower Netchwood,Shropshire,England
23856,Lower New Inn,Torfaen,Wales
23857,Lower Ninnes,Cornwall,England
